game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,num_simulations,mcts_batch_size
1,1,0,0,1.0,21,8,0,21,21,3.829792,0.919603,4.749395,0.919603,0.393874,200,1
2,1,0,0,1.0,19,8,0,19,40,3.865568,0.790917,4.656485,0.790917,0.385877,200,1
3,2,0,0,1.0,38,8,0,38,78,3.768555,0.746104,4.514659,0.746104,0.477651,200,1
4,2,0,0,1.0,36,8,0,36,114,3.739275,0.724951,4.464226,0.724951,0.582775,200,1
5,2,0,0,1.0,60,8,0,60,174,3.700689,0.845478,4.546167,0.724951,0.526801,200,1
6,1,0,0,1.0,31,8,0,31,205,3.581888,0.740891,4.32278,0.724951,0.501702,200,1
7,2,0,0,1.0,28,8,0,28,233,3.496784,0.755745,4.252529,0.724951,0.449928,200,1
8,2,0,0,1.0,66,8,0,66,299,3.395232,0.728386,4.123618,0.724951,0.528171,200,1
9,1,0,0,1.0,31,8,0,31,330,3.309128,0.709112,4.018239,0.709112,0.470903,200,1
10,1,0,0,1.0,39,8,0,39,369,3.20031,0.65075,3.85106,0.65075,0.456384,200,1
11,2,0,0,1.0,16,8,0,16,385,3.210532,0.628708,3.83924,0.628708,0.392588,200,1
12,1,1,1,0.1,80,8,0,80,465,3.095672,0.459619,3.55529,0.459619,0.511997,200,1
13,2,1,1,0.1,80,8,0,80,545,3.106374,0.382649,3.489023,0.382649,0.543719,200,1
14,2,1,1,0.1,80,8,0,80,625,3.053319,0.335219,3.388538,0.335219,0.544975,200,1
15,2,0,0,1.0,18,8,0,18,643,2.910564,0.25746,3.168024,0.25746,0.383026,200,1
16,1,1,1,0.1,80,8,0,80,723,2.897573,0.222986,3.120559,0.222986,0.585992,200,1
17,1,0,0,1.0,15,8,0,15,738,2.911466,0.265942,3.177407,0.222986,0.442881,200,1
18,2,0,0,1.0,34,8,0,34,772,2.875754,0.282257,3.158011,0.222986,0.473544,200,1
19,2,0,0,1.0,20,8,0,20,792,2.732468,0.236802,2.969271,0.222986,0.540452,200,1
20,2,0,0,1.0,24,8,0,24,816,2.749134,0.28073,3.029864,0.222986,0.582915,200,1
21,2,0,0,1.0,24,8,0,24,840,2.609625,0.33647,2.946095,0.222986,0.574958,200,1
22,2,0,0,1.0,28,8,0,28,868,2.658748,0.307244,2.965992,0.222986,0.549174,200,1
