game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
1,1,0,0,1.0,27,8,0,27,27,1.38765,0.458304,1.845955,0.458304,0.783714,0.0,0.0,8,1.0,600,1
2,2,0,0,1.0,32,8,0,32,59,1.288666,0.288504,1.577171,0.288504,0.739775,0.0,0.0,8,1.0,600,1
3,1,1,1,0.3,70,8,0,70,129,1.168933,0.230047,1.39898,0.230047,0.712569,0.0,0.0,8,1.0,600,1
4,1,0,0,1.0,17,6,0,17,146,1.154081,0.164695,1.318775,0.164695,0.754787,0.0,0.0,8,1.0,600,1
5,2,0,0,1.0,20,7,0,20,166,1.097006,0.223244,1.32025,0.164695,0.731052,0.0,0.0,8,1.0,600,1
6,1,0,0,1.0,17,6,0,17,183,1.140204,0.204995,1.345199,0.164695,0.704704,0.0,0.0,8,1.0,600,1
7,1,0,0,1.0,25,7,0,25,208,1.273027,0.271525,1.544552,0.164695,0.749983,0.0,0.0,8,1.0,600,1
8,1,0,0,1.0,13,5,0,13,221,1.285516,0.251846,1.537362,0.164695,0.6751,0.0,0.0,8,1.0,600,1
9,1,0,0,1.0,19,7,0,19,240,1.135222,0.179064,1.314286,0.164695,0.769089,0.0,0.0,8,1.0,600,1
10,1,0,0,1.0,19,6,0,19,259,1.289841,0.273082,1.562923,0.164695,0.715491,0.0,0.0,8,1.0,600,1
11,1,0,0,1.0,21,8,0,21,280,1.177675,0.186249,1.363923,0.164695,0.699817,0.0,0.0,8,1.0,600,1
12,1,0,0,1.0,27,8,0,27,307,1.183624,0.246552,1.430176,0.164695,0.790082,0.0,0.0,8,1.0,600,1
13,2,0,0,1.0,20,7,0,20,327,1.150727,0.248004,1.398731,0.164695,0.740902,0.0,0.0,8,1.0,600,1
14,1,0,0,1.0,17,8,0,17,344,1.249771,0.237937,1.487708,0.164695,0.67868,0.0,0.0,8,1.0,600,1
15,1,0,0,1.0,17,6,0,17,361,1.179395,0.182513,1.361909,0.164695,0.683689,0.0,0.0,8,1.0,600,1
16,1,0,0,1.0,21,7,0,21,382,1.277426,0.139133,1.416559,0.139133,0.709277,0.0,0.0,8,1.0,600,1
17,2,0,0,1.0,20,8,0,20,402,1.276432,0.159016,1.435448,0.139133,0.732972,0.0,0.0,8,1.0,600,1
18,1,0,0,1.0,35,8,0,35,437,1.238516,0.171619,1.410135,0.139133,0.790079,0.0,0.0,8,1.0,600,1
19,1,0,0,1.0,23,8,0,23,460,1.200518,0.150571,1.351089,0.139133,0.772592,0.0,0.0,8,1.0,600,1
20,1,0,0,1.0,19,7,0,19,479,1.203955,0.160228,1.364184,0.139133,0.683508,0.0,0.0,8,1.0,600,1
21,1,0,0,1.0,23,7,0,23,502,1.318606,0.171543,1.490149,0.139133,0.758801,0.0,0.0,8,1.0,600,1
22,1,0,0,1.0,13,7,0,13,515,1.322563,0.150877,1.473439,0.139133,0.639014,0.0,0.0,8,1.0,600,1
23,1,0,0,1.0,25,8,0,25,540,1.388353,0.134626,1.522979,0.134626,0.70424,0.0,0.0,8,1.0,600,1
24,2,0,0,1.0,16,6,0,16,556,1.353749,0.105446,1.459195,0.105446,0.691152,0.0,0.0,8,1.0,600,1
25,1,0,0,1.0,17,7,0,17,573,1.404898,0.093813,1.498712,0.093813,0.631248,0.0,0.0,8,1.0,600,1
26,1,0,0,1.0,15,7,0,15,588,1.13241,0.100722,1.233132,0.093813,0.746021,0.0,0.0,8,1.0,600,1
27,2,0,0,1.0,22,7,0,22,610,1.353902,0.117902,1.471804,0.093813,0.760206,0.0,0.0,8,1.0,600,1
28,2,0,0,1.0,18,8,0,18,628,1.325365,0.19288,1.518245,0.093813,0.753664,0.0,0.0,8,1.0,600,1
29,1,0,0,1.0,15,7,0,15,643,1.194584,0.116604,1.311188,0.093813,0.661658,0.0,0.0,8,1.0,600,1
30,1,0,0,1.0,7,3,0,7,650,1.341087,0.201337,1.542423,0.093813,0.632483,1.0,0.0,8,1.0,600,1
31,1,0,0,1.0,19,8,0,19,669,1.324713,0.319007,1.643719,0.093813,0.739127,0.0,0.0,8,1.0,600,1
32,1,0,0,1.0,5,1,0,5,674,1.371729,0.13181,1.503539,0.093813,0.654758,1.0,0.0,8,1.0,600,1
33,1,0,0,1.0,23,8,0,23,697,1.305243,0.195204,1.500446,0.093813,0.722146,0.0,0.0,8,1.0,600,1
34,1,0,0,1.0,21,7,0,21,718,1.272178,0.377931,1.650109,0.093813,0.825582,0.0,0.0,8,1.0,600,1
35,2,0,0,1.0,20,6,0,20,738,1.583036,0.270866,1.853901,0.093813,0.710601,0.0,0.0,8,1.0,600,1
36,2,0,0,1.0,20,8,0,20,758,1.255049,0.292278,1.547327,0.093813,0.739482,0.0,0.0,8,1.0,600,1
37,2,0,0,1.0,24,8,0,24,782,1.278978,0.260093,1.539071,0.093813,0.776989,0.0,0.0,8,1.0,600,1
38,2,0,0,1.0,20,8,0,20,802,1.391086,0.535669,1.926755,0.093813,0.823539,0.0,0.0,8,1.0,600,1
39,,1,0,0.3,70,8,0,70,872,1.438406,0.378362,1.816767,0.093813,0.838254,0.0,0.0,8,1.0,600,1
40,2,0,0,1.0,26,8,0,26,898,1.234081,0.382063,1.616143,0.093813,0.848465,0.0,0.0,8,1.0,600,1
41,1,0,0,1.0,15,6,0,15,913,1.279065,0.542511,1.821577,0.093813,0.691597,0.0,0.0,8,1.0,600,1
42,1,0,0,1.0,17,8,0,17,930,1.300973,0.313996,1.614968,0.093813,0.717568,0.0,0.0,8,1.0,600,1
43,2,0,0,1.0,26,8,0,26,956,1.298624,0.292156,1.59078,0.093813,0.80583,0.0,0.0,8,1.0,600,1
44,2,0,0,1.0,22,8,0,22,978,1.205647,0.464461,1.670109,0.093813,0.798528,0.0,0.0,8,1.0,600,1
45,1,0,0,1.0,21,8,0,21,999,1.349518,0.429139,1.778657,0.093813,0.785754,0.0,0.0,8,1.0,600,1
46,1,0,0,1.0,9,3,0,9,1008,1.288034,0.419055,1.707089,0.093813,0.735671,0.0,0.0,8,1.0,600,1
47,2,1,1,0.3,70,8,0,70,1078,1.237244,0.330858,1.568102,0.093813,0.817648,0.0,0.0,8,1.0,600,1
48,1,1,1,0.3,70,6,0,70,1148,1.164613,0.376823,1.541436,0.093813,0.542189,0.0,0.0,8,1.0,600,1
49,2,0,0,1.0,22,8,0,22,1170,1.186538,0.32139,1.507928,0.093813,0.707012,0.0,0.0,8,1.0,600,1
50,1,0,0,1.0,17,6,0,17,1187,1.236922,0.382908,1.61983,0.093813,0.708141,0.0,0.0,8,1.0,600,1
51,2,0,0,1.0,18,8,0,18,1205,1.242827,0.42568,1.668508,0.093813,0.67993,0.0,0.0,8,1.0,600,1
52,1,0,0,1.0,21,8,0,21,1226,1.296812,0.347987,1.644799,0.093813,0.737022,0.0,0.0,8,1.0,600,1
53,1,0,0,1.0,23,7,0,23,1249,1.261059,0.447421,1.70848,0.093813,0.789214,0.0,0.0,8,1.0,600,1
54,2,0,0,1.0,22,8,0,22,1271,1.213676,0.434761,1.648437,0.093813,0.748976,0.0,0.0,8,1.0,600,1
55,2,0,0,1.0,26,7,0,26,1297,1.225473,0.373654,1.599127,0.093813,0.72666,0.0,0.0,8,1.0,600,1
56,2,0,0,1.0,26,8,0,26,1323,1.291049,0.35623,1.647279,0.093813,0.768075,0.0,0.0,8,1.0,600,1
57,2,0,0,1.0,12,4,0,12,1335,1.329477,0.384697,1.714174,0.093813,0.65345,0.0,0.0,8,1.0,600,1
58,2,0,0,1.0,22,7,0,22,1357,1.312275,0.398835,1.71111,0.093813,0.737745,0.0,0.0,8,1.0,600,1
59,1,0,0,1.0,17,6,0,17,1374,1.301336,0.325764,1.6271,0.093813,0.748208,0.0,0.0,8,1.0,600,1
60,1,0,0,1.0,17,6,0,17,1391,1.168946,0.37732,1.546265,0.093813,0.712953,0.0,0.0,8,1.0,600,1
61,1,0,0,1.0,17,6,0,17,1408,1.271289,0.341633,1.612922,0.093813,0.780615,0.0,0.0,8,1.0,600,1
62,1,0,0,1.0,19,7,0,19,1427,1.345424,0.389796,1.73522,0.093813,0.752043,0.0,0.0,8,1.0,600,1
63,,1,0,0.3,70,8,0,70,1497,1.338562,0.376513,1.715075,0.093813,0.770403,0.0,0.0,8,1.0,600,1
64,2,0,0,1.0,38,8,0,38,1535,1.234576,0.29931,1.533886,0.093813,0.770626,0.0,0.0,8,1.0,600,1
65,1,0,0,1.0,15,6,0,15,1550,1.297665,0.387732,1.685396,0.093813,0.621369,0.0,0.0,8,1.0,600,1
66,2,0,0,1.0,26,7,0,26,1576,1.319924,0.27936,1.599284,0.093813,0.769809,0.0,0.0,8,1.0,600,1
67,2,0,0,1.0,18,8,0,18,1594,1.30432,0.325326,1.629646,0.093813,0.731775,0.0,0.0,8,1.0,600,1
68,1,0,0,1.0,19,7,0,19,1613,1.215307,0.390904,1.60621,0.093813,0.64555,0.0,0.0,8,1.0,600,1
