game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
1,2,0,0,1.0,22,8,0,22,22,1.573594,0.628901,2.202495,0.628901,0.74852,0.0,0.0,8,1.0,600,1
2,1,0,0,1.0,23,8,0,23,45,1.492131,0.598861,2.090991,0.598861,0.74755,0.0,0.0,8,1.0,600,1
3,1,0,0,1.0,7,3,0,7,52,1.389908,0.398664,1.788572,0.398664,0.695206,1.0,0.0,8,1.0,600,1
4,2,0,0,1.0,8,4,0,8,60,1.403521,0.361757,1.765278,0.361757,0.652337,1.0,0.0,8,1.0,600,1
5,1,0,0,1.0,9,3,0,9,69,1.387846,0.399885,1.787732,0.361757,0.69783,0.0,0.0,8,1.0,600,1
6,1,0,0,1.0,59,8,0,59,128,1.437394,0.727301,2.164695,0.361757,0.70049,0.0,0.0,8,1.0,600,1
7,1,0,0,1.0,17,7,0,17,145,1.356651,0.26131,1.617961,0.26131,0.678287,0.0,0.0,8,1.0,600,1
8,1,0,0,1.0,19,7,0,19,164,1.393497,0.342577,1.736073,0.26131,0.792549,0.0,0.0,8,1.0,600,1
9,2,0,0,1.0,18,7,0,18,182,1.475947,0.459657,1.935604,0.26131,0.70933,0.0,0.0,8,1.0,600,1
10,1,0,0,1.0,17,6,0,17,199,1.328309,0.382077,1.710386,0.26131,0.686438,0.0,0.0,8,1.0,600,1
11,1,0,0,1.0,13,6,0,13,212,1.44121,0.273962,1.715173,0.26131,0.542057,0.0,0.0,8,1.0,600,1
12,1,0,0,1.0,21,6,0,21,233,1.534521,0.246418,1.780939,0.246418,0.649972,0.0,0.0,8,1.0,600,1
13,1,0,0,1.0,21,7,0,21,254,1.449956,0.171304,1.62126,0.171304,0.727244,0.0,0.0,8,1.0,600,1
14,1,0,0,1.0,9,5,0,9,263,1.547655,0.179247,1.726902,0.171304,0.608792,0.0,0.0,8,1.0,600,1
