game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
1,1,0,0,1.0,fixed,0.5,27,7,0,27,27,1.75538,0.700959,2.456339,0.700959,0.689668,0.0,0.0,8,1.0,600,1
2,2,0,0,1.0,fixed,0.5,30,7,0,30,57,1.774645,0.507929,2.282575,0.507929,0.557262,0.0,0.0,8,1.0,600,1
3,2,0,0,1.0,fixed,0.5,18,8,0,18,75,1.684493,0.559179,2.243671,0.507929,0.706826,0.0,0.0,8,1.0,600,1
4,1,0,0,1.0,fixed,0.5,23,8,0,23,98,1.641728,0.493493,2.13522,0.493493,0.650142,0.0,0.0,8,1.0,600,1
5,1,0,0,1.0,fixed,0.5,21,6,0,21,119,1.669394,0.529055,2.198449,0.493493,0.605613,0.0,0.0,8,1.0,600,1
6,2,0,0,1.0,fixed,0.5,14,5,0,14,133,1.695536,0.421532,2.117068,0.421532,0.693656,0.0,0.0,8,1.0,600,1
7,1,0,0,1.0,fixed,0.5,19,6,0,19,152,1.534017,0.415917,1.949934,0.415917,0.729461,0.0,0.0,8,1.0,600,1
8,1,0,0,1.0,fixed,0.5,15,7,0,15,167,1.633052,0.438756,2.071808,0.415917,0.639733,0.0,0.0,8,1.0,600,1
9,1,0,0,1.0,fixed,0.5,21,7,0,21,188,1.479686,0.422502,1.902188,0.415917,0.7057,0.0,0.0,8,1.0,600,1
10,1,0,0,1.0,fixed,0.5,19,8,0,19,207,1.499535,0.379759,1.879293,0.379759,0.656796,0.0,0.0,8,1.0,600,1
11,1,0,0,1.0,fixed,0.5,19,8,0,19,226,1.641771,0.415094,2.056865,0.379759,0.636324,0.0,0.0,8,1.0,600,1
12,1,0,0,1.0,fixed,0.5,19,7,0,19,245,1.565184,0.372916,1.9381,0.372916,0.725244,0.0,0.0,8,1.0,600,1
13,2,0,0,1.0,fixed,0.5,18,7,0,18,263,1.519223,0.344822,1.864044,0.344822,0.697273,0.0,0.0,8,1.0,600,1
14,1,0,0,1.0,fixed,0.5,15,6,0,15,278,1.568044,0.410865,1.978909,0.344822,0.66355,0.0,0.0,8,1.0,600,1
15,1,0,0,1.0,fixed,0.5,17,7,0,17,295,1.578892,0.366722,1.945614,0.344822,0.611411,0.0,0.0,8,1.0,600,1
16,1,0,0,1.0,fixed,0.5,15,7,0,15,310,1.579762,0.277369,1.857131,0.277369,0.593211,0.0,0.0,8,1.0,600,1
17,1,0,0,1.0,fixed,0.5,19,7,0,19,329,1.750342,0.350231,2.100574,0.277369,0.624022,0.0,0.0,8,1.0,600,1
18,1,0,0,1.0,fixed,0.5,17,6,0,17,346,1.64667,0.293677,1.940347,0.277369,0.526858,0.0,0.0,8,1.0,600,1
19,1,0,0,1.0,fixed,0.5,21,7,0,21,367,1.483295,0.269173,1.752468,0.269173,0.711344,0.0,0.0,8,1.0,600,1
20,1,0,0,1.0,fixed,0.5,17,7,0,17,384,1.574051,0.238892,1.812943,0.238892,0.62133,0.0,0.0,8,1.0,600,1
21,2,1,1,0.3,fixed,0.5,70,7,0,70,454,1.485233,0.1845,1.669733,0.1845,0.809444,0.0,0.0,8,1.0,600,1
22,2,0,0,1.0,fixed,0.5,16,6,0,16,470,1.370188,0.240262,1.610451,0.1845,0.645764,0.0,0.0,8,1.0,600,1
23,2,0,0,1.0,fixed,0.5,18,8,0,18,488,1.449631,0.247347,1.696978,0.1845,0.7225,0.0,0.0,8,1.0,600,1
24,1,0,0,1.0,fixed,0.5,19,7,0,19,507,1.316466,0.238443,1.554909,0.1845,0.685792,0.0,0.0,8,1.0,600,1
25,1,0,0,1.0,fixed,0.5,17,7,0,17,524,1.429374,0.272778,1.702151,0.1845,0.647746,0.0,0.0,8,1.0,600,1
